Epoch: [34][0/53]	Loss 1.5667 (1.5667)
Epoch: [34][10/53]	Loss 1.8700 (1.7602)
Epoch: [34][20/53]	Loss 1.5490 (1.7637)
Epoch: [34][30/53]	Loss 1.7193 (1.7450)
Epoch: [34][40/53]	Loss 1.7521 (1.7253)
Epoch: [34][50/53]	Loss 1.6056 (1.7252)
Epoch: [35][0/53]	Loss 2.1078 (2.1078)
Epoch: [35][10/53]	Loss 1.3225 (1.6981)
Epoch: [35][20/53]	Loss 2.1694 (1.7521)
Epoch: [35][30/53]	Loss 1.8535 (1.7512)
Epoch: [35][40/53]	Loss 1.7107 (1.7532)
Epoch: [35][50/53]	Loss 1.7343 (1.7264)
Epoch: [36][0/53]	Loss 2.0579 (2.0579)
Epoch: [36][10/53]	Loss 2.1686 (2.6806)
Epoch: [36][20/53]	Loss 2.6318 (2.6648)
Epoch: [36][30/53]	Loss 1.3553 (2.5346)
Epoch: [36][40/53]	Loss 1.8403 (2.3882)
Epoch: [36][50/53]	Loss 1.8828 (2.2776)
Epoch: [37][0/53]	Loss 1.5094 (1.5094)
Epoch: [37][10/53]	Loss 1.7695 (1.7716)
Epoch: [37][20/53]	Loss 1.7561 (1.7447)
Epoch: [37][30/53]	Loss 1.6985 (1.7742)
Epoch: [37][40/53]	Loss 1.7854 (1.7806)
Epoch: [37][50/53]	Loss 1.6133 (1.7551)
Epoch: [38][0/53]	Loss 1.6197 (1.6197)
Epoch: [38][10/53]	Loss 1.8818 (1.9950)
Epoch: [38][20/53]	Loss 1.4785 (1.9693)
Epoch: [38][30/53]	Loss 1.5761 (1.8652)
Epoch: [38][40/53]	Loss 1.4320 (1.8428)
Epoch: [38][50/53]	Loss 1.4352 (1.7971)
Epoch: [39][0/53]	Loss 1.6190 (1.6190)
Epoch: [39][10/53]	Loss 1.4515 (1.6443)
Epoch: [39][20/53]	Loss 1.4624 (1.6696)
Epoch: [39][30/53]	Loss 1.4703 (1.6071)
Epoch: [39][40/53]	Loss 1.6597 (1.6122)
Epoch: [39][50/53]	Loss 2.1430 (1.6251)
Epoch: [40][0/53]	Loss 1.2483 (1.2483)
Epoch: [40][10/53]	Loss 1.3689 (1.4308)
Epoch: [40][20/53]	Loss 1.5221 (1.5333)
Epoch: [40][30/53]	Loss 1.3290 (1.5634)
Epoch: [40][40/53]	Loss 1.9557 (1.5972)
Epoch: [40][50/53]	Loss 1.6616 (1.5838)
Epoch: [41][0/53]	Loss 1.4275 (1.4275)
Epoch: [41][10/53]	Loss 1.2652 (1.7086)
Epoch: [41][0/53]	Loss 1.4291 (1.4291)
Epoch: [41][10/53]	Loss 1.8552 (1.7467)
Epoch: [41][20/53]	Loss 1.4799 (1.6280)
Epoch: [41][30/53]	Loss 1.9113 (1.6424)
Epoch: [41][40/53]	Loss 1.1416 (1.6059)
Epoch: [41][50/53]	Loss 1.6798 (1.6059)
Epoch: [42][0/53]	Loss 1.7601 (1.7601)
Epoch: [42][10/53]	Loss 1.4389 (1.5945)
Epoch: [42][20/53]	Loss 1.0717 (1.5355)
Epoch: [42][30/53]	Loss 2.0714 (1.5631)
Epoch: [42][40/53]	Loss 1.8657 (1.5893)
Epoch: [42][50/53]	Loss 1.5213 (1.5963)
Epoch: [43][0/53]	Loss 1.4500 (1.4500)
Epoch: [43][10/53]	Loss 1.6896 (1.7112)
Epoch: [43][20/53]	Loss 1.4624 (1.5707)
Epoch: [43][30/53]	Loss 1.6416 (1.5843)
Epoch: [43][40/53]	Loss 1.7533 (1.5626)
Epoch: [43][50/53]	Loss 1.6486 (1.5531)
Epoch: [44][0/53]	Loss 1.1938 (1.1938)
Epoch: [44][0/53]	Loss 1.3231 (1.3231)
